genre,age_group,popularity,producer
Comedy,26-35,690,Manga
Action,26-35,1060,Manga
Adventure,26-35,1208,Light novel
Sci-Fi,26-35,468,Original
Action,26-35,728,Game
Mystery,26-35,445,Original
Action,26-35,92,Light novel
Action,26-35,321,Manga
Adventure,26-35,606,Light novel
Action,26-35,1521,Original
Adventure,26-35,569,Manga
Action,26-35,1335,Manga
Mystery,26-35,3588,Manga
Slice of Life,26-35,1904,Original
Space,26-35,992,Original
Slice of Life,26-35,352,Manga
Action,26-35,227,Manga
Action,26-35,1085,Original
Action,26-35,400,Manga
Action,26-35,385,Light novel
Action,26-35,41,Manga
Action,26-35,2164,Original
Action,26-35,352,Manga
Action,26-35,186,Light novel
Action,26-35,66,Manga
Action,26-35,278,Manga
Sci-Fi,26-35,184,Original
Action,26-35,432,Manga
Action,26-35,270,Original
Action,26-35,35,Manga
Sci-Fi,26-35,188,Manga
Action,26-35,141,Manga
Action,26-35,18,Manga
Comedy,26-35,69,Manga
Action,26-35,297,Manga
Action,26-35,1793,Light novel
Action,26-35,20,Manga
Comedy,26-35,366,Manga
Action,26-35,332,Light novel
Comedy,26-35,473,Manga
Slice of Life,26-35,13,Light novel
Comedy,26-35,71,Manga
Comedy,26-35,285,4-koma manga
Action,26-35,208,Manga
Comedy,26-35,231,Manga
Action,26-35,103,Light novel
Slice of Life,26-35,88,Manga
Comedy,26-35,259,Manga
Action,26-35,38,Original
Action,26-35,1104,Original
Action,26-35,10,Manga
Action,26-35,1008,Manga
Action,26-35,210,Manga
Action,26-35,240,Manga
Action,26-35,198,Manga
Adventure,26-35,430,Manga
Action,26-35,21,Manga
Adventure,26-35,1124,Manga
Action,26-35,655,Manga
Action,26-35,310,Manga
Action,26-35,277,Original
Action,26-35,1016,Novel
Action,26-35,79,Original
Action,26-35,1073,Original
Action,26-35,359,Original
Action,26-35,67,Original
Action,26-35,16,Manga
Action,26-35,117,Original
Adventure,26-35,515,Manga
Sci-Fi,26-35,203,Original
Adventure,26-35,1182,Light novel
Action,26-35,125,Manga
Action,26-35,144,Light novel
Action,26-35,82,Visual novel
Comedy,26-35,607,Light novel
Action,26-35,355,Manga
Action,26-35,246,Manga
Action,26-35,817,Manga
Romance,26-35,1400,Manga
Horror,26-35,1070,Original
Adventure,26-35,1707,Manga
Adventure,26-35,548,Manga
Action,26-35,975,Novel
Adventure,26-35,1249,Original
Adventure,26-35,1160,Original
Action,26-35,105,Manga
Action,26-35,1024,Manga
Action,26-35,98,Manga
Action,26-35,95,Manga
Mystery,26-35,97,Visual novel
Adventure,26-35,714,Manga
Action,26-35,449,Original
Action,26-35,106,Manga
Mystery,26-35,1,Manga
Horror,26-35,3167,Manga
Action,26-35,9,Original
Action,26-35,173,Manga
Action,26-35,455,Manga
Action,26-35,119,Manga
Action,26-35,24,Original
Action,26-35,61,Original
Action,26-35,778,Manga
Slice of Life,26-35,31,Visual novel
Action,26-35,87,Light novel
Action,26-35,815,Manga
Action,26-35,597,Manga
Harem,26-35,145,Visual novel
Action,26-35,512,Manga
Action,26-35,22,Original
